stage,band,macd_mode,exit,lookahead,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp,symbols_scored,symbols_with_positive_edge
S,b_20_50,hist_rising,k_turn_down,False,751,0,0.4394141145139814,0.5285763720825337,-4.938822925532229,0.9999996070223003,396.96085543398283,330.0,0.0043311174917699605,-0.004915825233427373,4.203728362183755,4.0,1.2358920233847177,-8.916225756855233,5,0
S,b_20_50,hist_rising,k_over_80,False,340,2,0.7411764705882353,0.5666746900793106,6.478589662575611,4.629195422960016e-11,192.6693946269656,252.0,0.026571489518331524,0.0360445164478812,24.44705882352941,16.0,1.825943538059366,17.45017805089247,5,5
S,b_20_50,hist_rising,macd_death,False,488,2,0.5204918032786885,0.5689411485999253,-2.2195670860063377,0.9867759156989021,277.6432805167635,254.0,0.020362667028591422,0.0048143654041881145,21.266393442622952,18.0,1.5352601157961616,-4.844934532123679,5,1
S,b_20_50,hist_rising,trail_5,False,565,4,0.43716814159292033,0.5590049881232384,-5.919851133041498,0.9999999983888342,315.8378182896297,247.0,0.015711306894576692,-0.011021280111251253,17.23362831858407,10.0,1.504294235487829,-12.183684653031806,5,1
S,b_20_50,hist_rising,trail_10,False,364,5,0.4065934065934066,0.5675946299211289,-6.326463448737788,0.9999999998745781,206.6044452912909,148.0,0.046239352785303695,-0.02905516435702793,35.53846153846154,18.0,1.9651246219989325,-16.100122332772226,4,0
S,b_20_50,hist_rising,fixed_5,False,662,0,0.5709969788519638,0.53406694643478,1.8681722433818184,0.030869033178982055,353.5523185398244,378.0,0.00697312412563842,0.006990790695969973,5.0,5.0,1.3248376808709739,3.6930032417183734,5,4
S,b_20_50,hist_rising,fixed_10,False,577,0,0.5407279029462738,0.555746530325989,-0.7691365365674827,0.7790938698093293,320.66574799809564,312.0,0.0068788582911074175,0.007086337191311687,10.0,10.0,1.2116135955542329,-1.5018627379715155,5,3
S,b_20_50,hist_rising,fixed_20,False,445,2,0.5550561797752809,0.5698920728504012,-0.6833219356446792,0.7527982819217676,253.60197241842855,247.0,0.02068179732021939,0.016666717440995127,20.0,20.0,1.5085703834453281,-1.4835893075120343,5,2
S,b_20_50,recent_cross,death_cross,False,81,0,0.43209876543209874,0.5317079066455856,-1.9116114305695793,0.9720369739480209,43.06834043829244,35.0,0.02046557260708584,-0.008820999697168652,6.716049382716049,6.0,1.8345669671300453,-9.96091412134869,4,0
S,b_20_50,recent_cross,k_turn_down,False,81,0,0.4691358024691358,0.5197472099866928,-1.0242660442604263,0.847145184206638,42.09952400892212,38.0,0.010784921474682983,-0.004012101855452088,3.9753086419753085,3.0,1.535661023061457,-5.061140751755699,4,2
S,b_20_50,recent_cross,k_over_80,False,58,1,0.7586206896551724,0.5561178716425361,2.990187681412878,0.0013940304118757914,32.2548365552671,44.0,0.022867364535741036,0.0414388797691192,26.896551724137932,18.5,1.5177295683660017,20.250281801263625,3,3
S,b_20_50,recent_cross,macd_death,False,76,0,0.42105263157894735,0.548809604410117,-2.363383079805734,0.9909455300903395,41.70952993516889,32.0,0.0359466682961116,-0.01626483478199292,15.868421052631579,14.0,1.9320826757532554,-12.77569728311696,4,1
S,b_20_50,recent_cross,trail_5,False,72,0,0.5,0.556295337073441,-1.0916700398769457,0.8625109207773046,40.05326426928775,36.0,0.03225170080528414,-0.005109991759437771,21.875,9.5,2.032902683840534,-5.629533707344104,4,0
S,b_20_50,recent_cross,trail_10,False,63,3,0.4444444444444444,0.5693002553374253,-2.160187007121977,0.9846209022120634,35.8659160862578,28.0,0.07242379624190985,-0.028205547772041095,46.07936507936508,21.0,2.4159374906017277,-12.485581089298092,3,0
S,b_20_50,recent_cross,fixed_5,False,75,0,0.5466666666666666,0.526915369842604,0.22724254553225492,0.4101175731877602,39.5186527381953,41.0,0.008797013595838172,0.007393823831237878,5.0,5.0,1.357834841490039,1.9751296824062625,4,3
S,b_20_50,recent_cross,fixed_10,False,74,0,0.527027027027027,0.5478584625699678,-0.47756720308266976,0.6835208606890251,40.541526230177624,39.0,0.016233000577715526,0.006359777999279115,10.0,10.0,1.4130231618751221,-2.083143554294087,4,1
S,b_20_50,recent_cross,fixed_20,False,69,0,0.5507246376811594,0.5565475330114763,-0.21937476821326896,0.58682093831081,38.401779777791866,38.0,0.034343661321226904,0.029600909267885944,20.0,20.0,1.6838645015196632,-0.582289533031688,4,2
S,b_20_50,dif_rising,death_cross,False,528,1,0.42992424242424243,0.539364099416396,-5.09917757327403,0.9999998294337926,284.78424449185707,227.0,0.008408546994501253,-0.009415401990314987,7.03030303030303,7.0,1.33766413097212,-10.943985699215354,5,1
S,b_20_50,dif_rising,k_turn_down,False,529,0,0.44234404536862004,0.527357860744819,-3.9659473210527056,0.9999634474956972,278.97230833400926,234.0,0.005044383069132595,-0.004915825233427373,4.238185255198488,4.0,1.2684797711407265,-8.501381537619901,5,1
S,b_20_50,dif_rising,k_over_80,False,267,2,0.7378277153558053,0.5629650453042818,5.732178799415983,4.957433623311592e-09,150.31166709624324,197.0,0.022381317041436203,0.035819402204307904,24.164794007490638,15.0,1.6499813423120346,17.486267005152346,5,5
S,b_20_50,dif_rising,macd_death,False,383,2,0.4725848563968668,0.5642364015845744,-3.687317007091452,0.9998866845207612,216.10254180689202,181.0,0.01910657636441153,-0.004446251318899197,20.19060052219321,18.0,1.4822913710568528,-9.165154518770763,5,0
