ticker,days,median_dollar_volume,half_spread_bps,zero_volume_share,participation,cap_tier,fail_participation,fail_dollar_volume,fail_zero_volume,dropped,fail_history
ATEN,3124,4629449.500322342,25.692135968286312,0.0,0.00013824537884157451,small,False,False,False,False,False
ATMU,812,27024017.983436584,26.544229990003828,0.0,2.3682636697187863e-05,small,False,False,False,True,True
AUB,4184,4715163.296031952,21.67566981101077,0.0,0.00013573230868559576,small,False,False,False,False,False
AVA,4184,9948207.724571228,12.373307989852231,0.0,6.433319626200148e-05,small,False,False,False,False,False
AWI,4184,23621447.93777466,10.035070686643028,0.0,2.7094020725822343e-05,small,False,False,False,False,False
AWR,4184,8095990.69442749,16.568697248121975,0.0,7.9051474261268e-05,small,False,False,False,False,False
AX,4184,13394800.941848755,17.561656850881526,0.0,4.777973206010682e-05,small,False,False,False,False,False
AZTA,4184,13235565.922164917,20.647104733644245,0.0,4.835456252975365e-05,small,False,False,False,False,False
AZZ,4184,4981438.726615906,15.736881090352961,0.0,0.00012847693911810455,small,False,False,False,False,False
BANC,4184,3911128.579044342,19.474671116160426,0.0038240917782026767,0.00016363563280151217,small,False,False,False,False,False
BANF,4184,2040765.2256011963,19.068603868484924,0.0,0.00031360785256984185,small,False,False,False,False,False
BANR,4184,5294604.895591736,21.24368747722721,0.0,0.00012087776380308587,small,False,False,False,False,False
BBT,4184,3637885.2012634277,16.04779007596112,0.0,0.00017592638706073784,small,False,False,False,False,False
BCC,3406,10980366.678237915,16.39320834323104,0.0,5.828584953072848e-05,small,False,False,False,False,False
BCPC,4184,8413987.705230713,22.08761974396938,0.0,7.606381449810439e-05,small,False,False,False,False,False
BFAM,3414,27909710.50338745,17.693180854192054,0.0,2.2931087010820913e-05,small,False,False,False,False,False
BFH,4184,67394906.57679749,10.855996780314227,0.0,9.496266595023923e-06,small,False,False,False,False,False
BFS,4184,1091167.819404602,20.157897092313547,0.0,0.0005865275612226332,small,False,False,False,False,False
BGC,4184,7860821.827581406,20.8889573661113,0.0,8.141642363072275e-05,small,False,False,False,False,False
BHE,4184,5210744.806051254,12.575516740542271,0.0,0.00012282313255041123,small,False,False,False,False,False
BJRI,4184,11838588.324737549,20.795109606809742,0.0,5.406049965118525e-05,small,False,False,False,False,False
BKE,4184,5661031.894540787,19.921685774717673,0.0,0.00011305359374802033,small,False,False,False,False,False
BKU,3914,17820863.465881348,13.698691526844026,0.0,3.591296242324632e-05,small,False,False,False,False,False
BL,2466,29695234.840774536,25.164643533716575,0.0,2.1552279462737765e-05,small,False,False,False,False,False
BLFS,4184,1132152.4830818176,5.03659699385459,0.052581261950286805,0.0005652948781756538,small,False,False,True,True,False
BLKB,4184,12664440.658950806,20.19229830676091,0.0,5.053519671614311e-05,small,False,False,False,False,False
BMI,4184,6032456.890678406,17.67424968029724,0.0,0.00010609275981548309,small,False,False,False,False,False
BNL,1489,14045275.644016266,17.44470269069675,0.0,4.556692344252143e-05,small,False,False,False,False,False
BOH,4184,11763808.585739136,10.742760613690992,0.0,5.440414941601908e-05,small,False,False,False,False,False
BOOT,2969,27069626.629638672,26.9647458587973,0.0,2.3642734669242195e-05,small,False,False,False,False,False
BOX,2912,36131974.48577881,19.72047472965857,0.0,1.7712843239494085e-05,small,False,False,False,False,False
BRC,4184,7046509.676265717,13.253573024900037,0.0,9.082510766368049e-05,small,False,False,False,False,False
BTU,2360,46488492.40016937,23.30570337852832,0.0,1.3766847814528575e-05,small,False,False,False,False,False
BXMT,4184,10636936.433315277,14.58962796563651,0.0,6.016769997755147e-05,small,False,False,False,False,False
